,average_cost_for_two,cuisines,currency,establishment_types,has_online_delivery,has_table_booking,id,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location.address,location.city,location.city_id,location.country_id,location.latitude,location.locality,location.locality_verbose,location.longitude,location.zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,user_rating.aggregate_rating,user_rating.custom_rating_text,user_rating.custom_rating_text_background,user_rating.rating_color,user_rating.rating_text,user_rating.rating_tool_tip,user_rating.votes
0,50,"Armenian, Mediterranean",$,[],0,0,8903735,True,0,0,0,0,"1450 Clark Avenue W, Thornhill L4J 7J9",Toronto,89,37,43.7984540000,"Clark Avenue West, Thornhill","Clark Avenue West, Thornhill, Toronto",-79.4703980000,L4J 7J9,,OTHER,Ani Ristorante,[],0,2,0,0,,,CBCBC8,Not rated,,0
0,0,"Jewish, Japanese, Bakery",$,[],0,0,17880543,True,0,0,0,0,"7241 Bathurst Street, Thornhill",Toronto,89,37,43.7992450000,"Chabad Gate, Thornhill","Chabad Gate, Thornhill, Toronto",-79.4464350000,,,OTHER,My Zaidy's Bakery & Kosher Sushi,[],0,1,0,0,,,CBCBC8,Not rated,,0
0,45,Russian,$,[],0,0,8901456,True,0,0,0,0,"856 Sheppard Avenue West, North York",Toronto,89,37,43.7527310000,"Sheppard Avenue West, North York","Sheppard Avenue West, North York, Toronto",-79.4528880000,,,OTHER,Alan Shish Kabob House,[],0,2,0,0,,,CBCBC8,Not rated,,0
0,25,Sandwich,$,[],0,0,8905563,True,0,0,0,0,"392 Queen Street West, Toronto",Toronto,89,37,43.6487360000,"Queen Street West, Fashion District","Queen Street West, Fashion District, Toronto",-79.3969520000,,,OTHER,Banh Mi Boys,[],0,1,0,4.9,,,3F7E00,Excellent,,969
0,70,"Mediterranean, Sandwich, Seafood",$,[],0,0,8906350,True,0,0,0,0,"2022 Queen Street East, Toronto M4L 1J4",Toronto,89,37,43.6703227000,"Queen Street East, The Beaches","Queen Street East, The Beaches, Toronto",-79.2987272000,M4L 1J4,,OTHER,Green Eggplant Restaurant,[],0,3,0,4.4,,,5BA829,Very Good,,244
0,40,"Bar Food, Sandwich, Burger",$,[],0,0,8901605,True,0,0,0,0,"1920 Ellesmere Road, Scarborough M1H 3G1",Toronto,89,37,43.7746408000,"1920 Ellesmere Road, Scarborough","1920 Ellesmere Road, Scarborough, Toronto",-79.2407928000,M1H 3G1,,OTHER,Terry's Bar & Grill,[],0,2,0,4.4,,,5BA829,Very Good,,223
0,25,Sandwich,$,[],0,0,8908758,True,0,0,0,0,"399 Yonge Street, Toronto",Toronto,89,37,43.6589388889,"Yonge Street, Downtown Yonge","Yonge Street, Downtown Yonge, Toronto",-79.3822416667,,,OTHER,Banh Mi Boys,[],0,1,0,4.3,,,5BA829,Very Good,,207
0,30,Sandwich,$,[],0,0,8905221,True,0,0,0,0,"825 Dundas Street West, Toronto M6J 1V4",Toronto,89,37,43.6515930000,"Dundas Street West, Trinity Bellwoods","Dundas Street West, Trinity Bellwoods, Toronto",-79.4090210000,M6J 1V4,,OTHER,Porchetta & Co.,[],0,2,0,4.4,,,5BA829,Very Good,,246
0,30,"Cafe, Sandwich",$,[],0,0,8910322,True,0,0,0,0,"4 Crescent Road, Toronto M4W 1S9",Toronto,89,37,43.6770610000,Rosedale,Rosedale,-79.3893910000,M4W 1S9,,OTHER,Black Camel,[],0,2,0,4.7,,,3F7E00,Excellent,,237
0,20,Sandwich,$,[],0,0,8911031,True,0,0,0,0,"244 Claremont Street, Toronto",Toronto,89,37,43.6525640000,"Claremont Street, Little Italy","Claremont Street, Little Italy, Toronto",-79.4123100000,,,OTHER,California Sandwiches,[],0,1,0,4.6,,,3F7E00,Excellent,,237
